t=2025-12-15T16:06:43+0500 lvl=info msg="no configuration paths supplied"
t=2025-12-15T16:06:43+0500 lvl=info msg="using configuration at default config path" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-15T16:06:43+0500 lvl=info msg="open config file" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-15T16:11:06+0500 lvl=info msg="join connections" obj=join id=f709c0324726 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:08+0500 lvl=info msg="join connections" obj=join id=3eeb9effd15f l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:10+0500 lvl=info msg="join connections" obj=join id=0658e0c9527a l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:12+0500 lvl=info msg="join connections" obj=join id=2cb825265cda l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:14+0500 lvl=info msg="join connections" obj=join id=b860e0ab1163 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:16+0500 lvl=info msg="join connections" obj=join id=7a24d6658c82 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:18+0500 lvl=info msg="join connections" obj=join id=bb0234554d43 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:20+0500 lvl=info msg="join connections" obj=join id=783c74ce1392 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:24+0500 lvl=info msg="join connections" obj=join id=62b5aaef3d7f l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:25+0500 lvl=info msg="join connections" obj=join id=579fa41d6b76 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:26+0500 lvl=info msg="join connections" obj=join id=42ad8a800c4e l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:26+0500 lvl=info msg="join connections" obj=join id=916e3ffdd061 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:56+0500 lvl=info msg="join connections" obj=join id=2c3f6f76dd00 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:33:46+0500 lvl=info msg="join connections" obj=join id=0606485104c9 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:65315
t=2025-12-15T16:33:46+0500 lvl=info msg="join connections" obj=join id=220c3333335b l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:65321
t=2025-12-15T16:33:47+0500 lvl=info msg="join connections" obj=join id=b028e1764857 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:65321
t=2025-12-15T16:33:47+0500 lvl=info msg="join connections" obj=join id=65cd1f3e84af l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:65321
t=2025-12-15T16:33:47+0500 lvl=info msg="join connections" obj=join id=3ac66acecdcc l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:65321
t=2025-12-15T16:33:47+0500 lvl=info msg="join connections" obj=join id=e3fc26e9d5de l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:65321
t=2025-12-15T16:33:48+0500 lvl=info msg="join connections" obj=join id=2ebbae3978ba l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:65333
t=2025-12-15T17:33:45+0500 lvl=info msg="join connections" obj=join id=b149d8eb6bbf l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:45+0500 lvl=info msg="join connections" obj=join id=be89bc7e2bf8 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:46+0500 lvl=info msg="join connections" obj=join id=1b4aa60b0410 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:46+0500 lvl=info msg="join connections" obj=join id=ee45f8452af3 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:46+0500 lvl=info msg="join connections" obj=join id=2f0ad29533fc l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:59841
t=2025-12-15T17:33:53+0500 lvl=info msg="join connections" obj=join id=9e1b9c986e35 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:53+0500 lvl=info msg="join connections" obj=join id=19fa9d4073cf l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:54+0500 lvl=info msg="join connections" obj=join id=debfb870028b l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:55+0500 lvl=info msg="join connections" obj=join id=0a0bb81fee8e l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:58+0500 lvl=info msg="join connections" obj=join id=e8ec76fa4df5 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:33:59+0500 lvl=info msg="join connections" obj=join id=d147be791c1c l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:01+0500 lvl=info msg="join connections" obj=join id=ed395a1197c9 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:03+0500 lvl=info msg="join connections" obj=join id=3878b83f541c l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:05+0500 lvl=info msg="join connections" obj=join id=4978a69951bf l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:07+0500 lvl=info msg="join connections" obj=join id=f6ede2839f60 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:09+0500 lvl=info msg="join connections" obj=join id=294280c4cd4c l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:11+0500 lvl=info msg="join connections" obj=join id=15d067819319 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:13+0500 lvl=info msg="join connections" obj=join id=6f351dca2ecc l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:15+0500 lvl=info msg="join connections" obj=join id=640a53401521 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
t=2025-12-15T17:34:17+0500 lvl=info msg="join connections" obj=join id=eba40f6731c8 l=127.0.0.1:3000 r=[2407:d000:8:3717:29c1:ed6e:9a8a:8511]:49635
